COUNTRY,INDICATOR,TRADE_FLOW,VALUATION,SCALE,CURRENCY,VALUE,YEAR,IS_EXPORT,VALUE_CATEGORY,TREND
Algeria,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,87.01635097943986,2023,False,Low,Increasing
Algeria,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,94.4795208029788,2024,False,Low,Increasing
Algeria,"Imports of goods, Volume index",Imports of goods,Cost insurance freight (CIF),Units,Not Applicable,105.0509956289461,2025,False,Low,Increasing
Angola,Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,27589000000.0,2016,True,High,No Data
Angola,Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,34613000000.0,2017,True,High,Increasing
Angola,Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,40758000000.0,2018,True,High,Increasing
Angola,Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,35432000000.0,2019,True,High,Decreasing
Angola,Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,22135000000.0,2020,True,High,Decreasing
Angola,Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,34472000000.0,2021,True,High,Increasing
Angola,Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,51275000000.0,2022,True,High,Increasing
Angola,Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,39506000000.0,2023,True,High,Decreasing
Angola,Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,39250000000.0,2024,True,High,Decreasing
Angola,Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,32492000000.0,2025,True,High,Decreasing
Angola,Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,13040000000.0,2016,False,High,No Data
Angola,Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,14463000000.0,2017,False,High,Increasing
Angola,Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,15798000000.0,2018,False,High,Increasing
Angola,Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,13962000000.0,2019,False,High,Decreasing
Angola,Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,9338000000.0,2020,False,High,Decreasing
Angola,Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,11379000000.0,2021,False,High,Increasing
Angola,Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,17803000000.0,2022,False,High,Increasing
Angola,Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,15696000000.0,2023,False,High,Decreasing
Angola,Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,13946000000.0,2024,False,High,Decreasing
Angola,Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,14965000000.0,2025,False,High,Increasing
"Anguilla, United Kingdom-British Overseas Territory",Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,7000000.0,2016,True,Medium,No Data
"Anguilla, United Kingdom-British Overseas Territory",Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,11000000.0,2017,True,Medium,Increasing
"Anguilla, United Kingdom-British Overseas Territory",Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,12000000.0,2018,True,Medium,Increasing
"Anguilla, United Kingdom-British Overseas Territory",Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,12000000.0,2019,True,Medium,No Data
"Anguilla, United Kingdom-British Overseas Territory",Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,11000000.0,2020,True,Medium,Decreasing
"Anguilla, United Kingdom-British Overseas Territory",Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,14000000.0,2021,True,Medium,Increasing
"Anguilla, United Kingdom-British Overseas Territory",Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,16000000.0,2022,True,Medium,Increasing
"Anguilla, United Kingdom-British Overseas Territory",Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,15000000.0,2023,True,Medium,Decreasing
"Anguilla, United Kingdom-British Overseas Territory",Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,15000000.0,2024,True,Medium,No Data
"Anguilla, United Kingdom-British Overseas Territory",Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,17000000.0,2025,True,Medium,Increasing
"Anguilla, United Kingdom-British Overseas Territory",Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,193000000.0,2016,False,Medium,No Data
"Anguilla, United Kingdom-British Overseas Territory",Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,222000000.0,2017,False,Medium,Increasing
"Anguilla, United Kingdom-British Overseas Territory",Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,234000000.0,2018,False,Medium,Increasing
"Anguilla, United Kingdom-British Overseas Territory",Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,228000000.0,2019,False,Medium,Decreasing
"Anguilla, United Kingdom-British Overseas Territory",Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,211000000.0,2020,False,Medium,Decreasing
"Anguilla, United Kingdom-British Overseas Territory",Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,266000000.0,2021,False,Medium,Increasing
"Anguilla, United Kingdom-British Overseas Territory",Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,302000000.0,2022,False,Medium,Increasing
"Anguilla, United Kingdom-British Overseas Territory",Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,286000000.0,2023,False,Medium,Decreasing
"Anguilla, United Kingdom-British Overseas Territory",Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,293000000.0,2024,False,Medium,Increasing
"Anguilla, United Kingdom-British Overseas Territory",Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,314000000.0,2025,False,Medium,Increasing
Antigua and Barbuda,Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,61000000.0,2016,True,Medium,No Data
Antigua and Barbuda,Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,21000000.0,2017,True,Medium,Decreasing
Antigua and Barbuda,Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,26000000.0,2018,True,Medium,Increasing
Antigua and Barbuda,Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,38000000.0,2019,True,Medium,Increasing
Antigua and Barbuda,Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,22000000.0,2020,True,Medium,Decreasing
Antigua and Barbuda,Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,19000000.0,2021,True,Medium,Decreasing
Antigua and Barbuda,Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,22000000.0,2022,True,Medium,Increasing
Antigua and Barbuda,Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,31000000.0,2023,True,Medium,Increasing
Antigua and Barbuda,Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,33000000.0,2024,True,Medium,Increasing
Antigua and Barbuda,Exports of goods,Exports of goods,Free on board (FOB),Millions,USD,32000000.0,2025,True,Medium,Decreasing
Antigua and Barbuda,Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,478000000.0,2016,False,Medium,No Data
Antigua and Barbuda,Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,554000000.0,2017,False,Medium,Increasing
Antigua and Barbuda,Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,699000000.0,2018,False,Medium,Increasing
Antigua and Barbuda,Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,701000000.0,2019,False,Medium,Increasing
Antigua and Barbuda,Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,498000000.0,2020,False,Medium,Decreasing
Antigua and Barbuda,Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,596000000.0,2021,False,Medium,Increasing
Antigua and Barbuda,Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,820000000.0,2022,False,Medium,Increasing
Antigua and Barbuda,Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,844000000.0,2023,False,Medium,Increasing
Antigua and Barbuda,Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,823000000.0,2024,False,Medium,Decreasing
Antigua and Barbuda,Imports of goods,Imports of goods,Cost insurance freight (CIF),Millions,USD,938000000.0,2025,False,Medium,Increasing
